"","first_name","last_name","pos","overall_ppg","overall_apg","overall_rpg","overall_mpg","points","totReb","assists","games","games_played","games_not_played","games_started","games_start_pct","starter","likely_starter"
"1","De'Andre","Hunter","SF",14.28125,1.5625,4.53125,29.40625,18,3,0,35,32,3,28,0.875,1,1
"2","De'Andre","Hunter","SF",14.28125,1.5625,4.53125,29.40625,15,7,2,35,32,3,28,0.875,1,1
"3","De'Andre","Hunter","SF",14.28125,1.5625,4.53125,29.40625,22,1,0,35,32,3,28,0.875,1,1
"4","De'Andre","Hunter","SF",14.28125,1.5625,4.53125,29.40625,4,4,1,35,32,3,28,0.875,1,1
"5","De'Andre","Hunter","SF",14.28125,1.5625,4.53125,29.40625,11,3,1,35,32,3,28,0.875,1,1
"6","Cam","Reddish","SF",11.0285714285714,1.4,3.8,25.9428571428571,5,3,2,40,35,5,22,0.628571428571429,1,1
"7","De'Andre","Hunter","SF",14.28125,1.5625,4.53125,29.40625,11,6,3,35,32,3,28,0.875,1,1
"8","De'Andre","Hunter","SF",14.28125,1.5625,4.53125,29.40625,11,8,3,35,32,3,28,0.875,1,1
"9","De'Andre","Hunter","SF",14.28125,1.5625,4.53125,29.40625,23,6,1,35,32,3,28,0.875,1,1
"10","De'Andre","Hunter","SF",14.28125,1.5625,4.53125,29.40625,17,5,2,35,32,3,28,0.875,1,1
"11","De'Andre","Hunter","SF",14.28125,1.5625,4.53125,29.40625,23,8,1,35,32,3,28,0.875,1,1
"12","De'Andre","Hunter","SF",14.28125,1.5625,4.53125,29.40625,17,6,5,35,32,3,28,0.875,1,1
"13","De'Andre","Hunter","SF",14.28125,1.5625,4.53125,29.40625,20,8,1,35,32,3,28,0.875,1,1
"14","De'Andre","Hunter","SF",14.28125,1.5625,4.53125,29.40625,15,7,1,35,32,3,28,0.875,1,1
"15","De'Andre","Hunter","SF",14.28125,1.5625,4.53125,29.40625,14,2,1,35,32,3,28,0.875,1,1
"16","De'Andre","Hunter","SF",14.28125,1.5625,4.53125,29.40625,15,6,1,35,32,3,28,0.875,1,1
"17","De'Andre","Hunter","SF",14.28125,1.5625,4.53125,29.40625,25,4,2,35,32,3,28,0.875,1,1
"18","Solomon","Hill","SF",3.77659574468085,0.861702127659574,2.6063829787234,18.3723404255319,6,5,3,94,94,0,19,0.202127659574468,1,0
"19","John","Collins","SF",16.6235294117647,1.22352941176471,7.72941176470588,29.7058823529412,4,7,2,85,85,0,85,1,1,1
"20","De'Andre","Hunter","SF",14.28125,1.5625,4.53125,29.40625,33,4,4,35,32,3,28,0.875,1,1
"21","De'Andre","Hunter","SF",14.28125,1.5625,4.53125,29.40625,22,3,4,35,32,3,28,0.875,1,1
"22","De'Andre","Hunter","SF",14.28125,1.5625,4.53125,29.40625,21,5,4,35,32,3,28,0.875,1,1
"23","De'Andre","Hunter","SF",14.28125,1.5625,4.53125,29.40625,6,2,1,35,32,3,28,0.875,1,1
"24","Cam","Reddish","SF",11.0285714285714,1.4,3.8,25.9428571428571,6,1,3,40,35,5,22,0.628571428571429,1,1
"25","Cam","Reddish","SF",11.0285714285714,1.4,3.8,25.9428571428571,2,3,1,40,35,5,22,0.628571428571429,1,1
"26","Cam","Reddish","SF",11.0285714285714,1.4,3.8,25.9428571428571,12,2,3,40,35,5,22,0.628571428571429,1,1
"27","Cam","Reddish","SF",11.0285714285714,1.4,3.8,25.9428571428571,10,5,1,40,35,5,22,0.628571428571429,1,1
"28","Cam","Reddish","SF",11.0285714285714,1.4,3.8,25.9428571428571,7,1,3,40,35,5,22,0.628571428571429,1,1
"29","Cam","Reddish","SF",11.0285714285714,1.4,3.8,25.9428571428571,6,0,1,40,35,5,22,0.628571428571429,1,1
"30","Cam","Reddish","SF",11.0285714285714,1.4,3.8,25.9428571428571,18,1,1,40,35,5,22,0.628571428571429,1,1
"31","John","Collins","SF",16.6235294117647,1.22352941176471,7.72941176470588,29.7058823529412,19,4,0,85,85,0,85,1,1,1
"32","Cam","Reddish","SF",11.0285714285714,1.4,3.8,25.9428571428571,13,6,3,40,35,5,22,0.628571428571429,1,1
"33","Cam","Reddish","SF",11.0285714285714,1.4,3.8,25.9428571428571,9,5,0,40,35,5,22,0.628571428571429,1,1
"34","Cam","Reddish","SF",11.0285714285714,1.4,3.8,25.9428571428571,8,4,1,40,35,5,22,0.628571428571429,1,1
"35","Tony","Snell","SF",3.73529411764706,0.897058823529412,1.72058823529412,15.5735294117647,11,5,1,72,68,4,23,0.338235294117647,1,0
"36","Tony","Snell","SF",3.73529411764706,0.897058823529412,1.72058823529412,15.5735294117647,12,4,4,72,68,4,23,0.338235294117647,1,0
"37","Tony","Snell","SF",3.73529411764706,0.897058823529412,1.72058823529412,15.5735294117647,0,2,1,72,68,4,23,0.338235294117647,1,0
"38","Tony","Snell","SF",3.73529411764706,0.897058823529412,1.72058823529412,15.5735294117647,8,4,0,72,68,4,23,0.338235294117647,1,0
"39","Tony","Snell","SF",3.73529411764706,0.897058823529412,1.72058823529412,15.5735294117647,11,3,2,72,68,4,23,0.338235294117647,1,0
"40","Tony","Snell","SF",3.73529411764706,0.897058823529412,1.72058823529412,15.5735294117647,11,3,3,72,68,4,23,0.338235294117647,1,0
"41","Tony","Snell","SF",3.73529411764706,0.897058823529412,1.72058823529412,15.5735294117647,6,4,2,72,68,4,23,0.338235294117647,1,0
"42","Tony","Snell","SF",3.73529411764706,0.897058823529412,1.72058823529412,15.5735294117647,8,3,1,72,68,4,23,0.338235294117647,1,0
"43","Tony","Snell","SF",3.73529411764706,0.897058823529412,1.72058823529412,15.5735294117647,0,4,3,72,68,4,23,0.338235294117647,1,0
"44","Tony","Snell","SF",3.73529411764706,0.897058823529412,1.72058823529412,15.5735294117647,15,3,5,72,68,4,23,0.338235294117647,1,0
"45","Tony","Snell","SF",3.73529411764706,0.897058823529412,1.72058823529412,15.5735294117647,6,2,1,72,68,4,23,0.338235294117647,1,0
"46","Tony","Snell","SF",3.73529411764706,0.897058823529412,1.72058823529412,15.5735294117647,3,0,1,72,68,4,23,0.338235294117647,1,0
"47","Tony","Snell","SF",3.73529411764706,0.897058823529412,1.72058823529412,15.5735294117647,13,6,1,72,68,4,23,0.338235294117647,1,0
"48","Tony","Snell","SF",3.73529411764706,0.897058823529412,1.72058823529412,15.5735294117647,5,3,2,72,68,4,23,0.338235294117647,1,0
"49","Tony","Snell","SF",3.73529411764706,0.897058823529412,1.72058823529412,15.5735294117647,5,1,2,72,68,4,23,0.338235294117647,1,0
"50","Tony","Snell","SF",3.73529411764706,0.897058823529412,1.72058823529412,15.5735294117647,5,1,1,72,68,4,23,0.338235294117647,1,0
"51","Tony","Snell","SF",3.73529411764706,0.897058823529412,1.72058823529412,15.5735294117647,6,4,1,72,68,4,23,0.338235294117647,1,0
"52","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,24,1,3,92,91,1,60,0.659340659340659,1,1
"53","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,10,1,4,92,91,1,60,0.659340659340659,1,1
"54","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,17,3,2,92,91,1,60,0.659340659340659,1,1
"55","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,13,5,4,92,91,1,60,0.659340659340659,1,1
"56","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,11,2,5,92,91,1,60,0.659340659340659,1,1
"57","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,10,2,7,92,91,1,60,0.659340659340659,1,1
"58","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,17,0,4,92,91,1,60,0.659340659340659,1,1
"59","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,16,6,4,92,91,1,60,0.659340659340659,1,1
"60","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,23,9,3,92,91,1,60,0.659340659340659,1,1
"61","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,15,2,2,92,91,1,60,0.659340659340659,1,1
"62","John","Collins","SF",16.6235294117647,1.22352941176471,7.72941176470588,29.7058823529412,18,3,0,85,85,0,85,1,1,1
"63","Solomon","Hill","SF",3.77659574468085,0.861702127659574,2.6063829787234,18.3723404255319,9,4,1,94,94,0,19,0.202127659574468,1,0
"64","Solomon","Hill","SF",3.77659574468085,0.861702127659574,2.6063829787234,18.3723404255319,2,12,1,94,94,0,19,0.202127659574468,1,0
"65","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,15,1,2,92,91,1,60,0.659340659340659,1,1
"66","Solomon","Hill","SF",3.77659574468085,0.861702127659574,2.6063829787234,18.3723404255319,14,5,4,94,94,0,19,0.202127659574468,1,0
"67","Solomon","Hill","SF",3.77659574468085,0.861702127659574,2.6063829787234,18.3723404255319,3,9,1,94,94,0,19,0.202127659574468,1,0
"68","Tony","Snell","SF",3.73529411764706,0.897058823529412,1.72058823529412,15.5735294117647,6,3,0,72,68,4,23,0.338235294117647,1,0
"69","Tony","Snell","SF",3.73529411764706,0.897058823529412,1.72058823529412,15.5735294117647,2,2,0,72,68,4,23,0.338235294117647,1,0
"70","Tony","Snell","SF",3.73529411764706,0.897058823529412,1.72058823529412,15.5735294117647,0,2,3,72,68,4,23,0.338235294117647,1,0
"71","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,7,4,3,92,91,1,60,0.659340659340659,1,1
"72","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,6,6,3,92,91,1,60,0.659340659340659,1,1
"73","Solomon","Hill","SF",3.77659574468085,0.861702127659574,2.6063829787234,18.3723404255319,0,2,2,94,94,0,19,0.202127659574468,1,0
"74","John","Collins","SF",16.6235294117647,1.22352941176471,7.72941176470588,29.7058823529412,12,7,0,85,85,0,85,1,1,1
"75","John","Collins","SF",16.6235294117647,1.22352941176471,7.72941176470588,29.7058823529412,0,2,0,85,85,0,85,1,1,1
"76","De'Andre","Hunter","SF",14.28125,1.5625,4.53125,29.40625,11,5,2,35,32,3,28,0.875,1,1
"77","De'Andre","Hunter","SF",14.28125,1.5625,4.53125,29.40625,5,2,0,35,32,3,28,0.875,1,1
"78","John","Collins","SF",16.6235294117647,1.22352941176471,7.72941176470588,29.7058823529412,13,7,0,85,85,0,85,1,1,1
"79","Solomon","Hill","SF",3.77659574468085,0.861702127659574,2.6063829787234,18.3723404255319,6,3,0,94,94,0,19,0.202127659574468,1,0
"80","Solomon","Hill","SF",3.77659574468085,0.861702127659574,2.6063829787234,18.3723404255319,0,2,0,94,94,0,19,0.202127659574468,1,0
"81","Solomon","Hill","SF",3.77659574468085,0.861702127659574,2.6063829787234,18.3723404255319,1,1,0,94,94,0,19,0.202127659574468,1,0
"82","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,10,4,2,92,91,1,60,0.659340659340659,1,1
"83","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,0,2,1,92,91,1,60,0.659340659340659,1,1
"84","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,17,11,4,92,91,1,60,0.659340659340659,1,1
"85","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,27,7,3,92,91,1,60,0.659340659340659,1,1
"86","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,13,2,1,92,91,1,60,0.659340659340659,1,1
"87","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,8,2,1,92,91,1,60,0.659340659340659,1,1
"88","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,11,4,7,92,91,1,60,0.659340659340659,1,1
"89","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,15,6,7,92,91,1,60,0.659340659340659,1,1
"90","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,8,3,7,92,91,1,60,0.659340659340659,1,1
"91","Kevin","Huerter","SF",11.6373626373626,3.32967032967033,3.47252747252747,30.5274725274725,5,3,4,92,91,1,60,0.659340659340659,1,1
